,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
52,2550,130,14.5,222,-27,14.5,46,693,165,6,0,-21,-6.9
19,2550,130,-18.5,0,-33,-23.9,8,578,165,-32,0,-38,-38.2
52,2550,130,14.5,0,33,22.3,11,672,165,-29,-29,3,-18.8
80,2550,130,42.5,42.5,28,35.25,70,2550,165,30,0,59,47.5
80,2550,130,42.5,85,0,25.5,70,2550,165,30,30,0,21
75,2550,130,37.5,122.5,-5,24.75,66,2550,165,26,56,-4,19.2
61,2550,130,23.5,146,-14,17,47,2550,165,7,0,-19,-5.3
37,2550,130,-0.5,0,-24,-12.2,11,2167,165,-29,0,-36,-35.4
21,2550,130,-16.5,-16.5,-16,-16.25,8,2550,165,-32,-32,-3,-23.9
54,2550,130,16.5,0,33,23.1,65,2550,165,25,0,57,43.5
75,2550,130,37.5,37.5,21,29.25,79,1557,165,39,39,14,34.3
10,2550,130,-27.5,0,-65,-43.5,60,891,165,20,59,-19,8.4
6,2550,130,-31.5,-31.5,-4,-17.75,18,2550,165,-22,0,-42,-34.2
62,2550,130,24.5,0,56,37.8,35,1503,165,-5,0,17,5.5
54,2550,130,16.5,16.5,-8,4.25,69,2550,165,29,0,34,34.4
15,2550,130,-22.5,0,-39,-28.5,67,2550,165,27,27,-2,17.9
11,2550,130,-26.5,-26.5,-4,-15.25,70,1422,165,30,57,3,25.2
58,2550,130,20.5,0,47,31.7,66,1436,165,26,83,-4,21.9
73,2550,130,35.5,35.5,15,25.25,68,2550,165,28,111,2,28.9
18,2550,130,-19.5,0,-55,-35.3,72,2550,90,32,143,4,35.5
6,2550,130,-31.5,-31.5,-12,-21.75,70,2550,90,30,173,-2,34.3
76,2550,130,38.5,0,70,50.4,72,2550,90,32,205,2,40.7
78,2550,130,40.5,40.5,2,21.25,75,2550,90,35,240,3,46.5
4,2550,130,-33.5,0,-74,-50.4,78,2550,90,38,278,3,52.1
7,2550,130,-30.5,-30.5,3,-13.75,88,2550,90,48,326,10,66.4
72,2550,130,34.5,0,65,46.3,80,2550,90,40,366,-8,56.6
77,2550,130,39.5,39.5,5,22.25,15,2550,90,-25,0,-65,-47.5
14,2550,130,-23.5,0,-63,-40.9,5,563,94.5,-35,-35,-10,-29.5
5,2550,130,-32.5,-32.5,-9,-20.75,5,592,99.225,-35,-70,0,-28
48,2550,130,10.5,0,43,25.7,5,635,104.18625,-35,-105,0,-31.5
70,2550,130,32.5,32.5,22,27.25,5,609,90,-35,-140,0,-35
18,2550,130,-19.5,0,-52,-33.8,24,609,90,-16,-156,19,-15.7
5,2550,130,-32.5,-32.5,-13,-22.75,76,2550,90,36,0,52,47.6
65,2550,130,27.5,0,60,41,79,2550,94.5,39,39,3,28.8
71,2550,130,33.5,33.5,6,19.75,80,2550,99.225,40,79,1,32.4
